copa,R1_filename,R2_filename,Expt
CoPA_15577_L1,atac/CoPA_15577_L1_R1.fastq.gz,atac/CoPA_15577_L1_R2.fastq.gz,ATAC
CoPA_15582_L1,atac/CoPA_15582_L1_R1.fastq.gz,atac/CoPA_15582_L1_R2.fastq.gz,ATAC
CoPA_15579_L1,atac/CoPA_15579_L1_R1.fastq.gz,atac/CoPA_15579_L1_R2.fastq.gz,ATAC
CoPA_15578_L1,atac/CoPA_15578_L1_R1.fastq.gz,atac/CoPA_15578_L1_R2.fastq.gz,ATAC
CoPA_15581_L1,atac/CoPA_15581_L1_R1.fastq.gz,atac/CoPA_15581_L1_R2.fastq.gz,ATAC
CoPA_15580_L1,atac/CoPA_15580_L1_R1.fastq.gz,atac/CoPA_15580_L1_R2.fastq.gz,ATAC
CoPA_15577_L2,atac/CoPA_15577_L2_R1.fastq.gz,atac/CoPA_15577_L2_R2.fastq.gz,ATAC
CoPA_15582_L2,atac/CoPA_15582_L2_R1.fastq.gz,atac/CoPA_15582_L2_R2.fastq.gz,ATAC
CoPA_15579_L2,atac/CoPA_15579_L2_R1.fastq.gz,atac/CoPA_15579_L2_R2.fastq.gz,ATAC
CoPA_15578_L2,atac/CoPA_15578_L2_R1.fastq.gz,atac/CoPA_15578_L2_R2.fastq.gz,ATAC
CoPA_15581_L2,atac/CoPA_15581_L2_R1.fastq.gz,atac/CoPA_15581_L2_R2.fastq.gz,ATAC
CoPA_15580_L2,atac/CoPA_15580_L2_R1.fastq.gz,atac/CoPA_15580_L2_R2.fastq.gz,ATAC
CoPA_15607_L1,atac/CoPA_15607_L1_R1.fastq.gz,atac/CoPA_15607_L1_R2.fastq.gz,ATAC
CoPA_15611_L1,atac/CoPA_15611_L1_R1.fastq.gz,atac/CoPA_15611_L1_R2.fastq.gz,ATAC
CoPA_15613_L1,atac/CoPA_15613_L1_R1.fastq.gz,atac/CoPA_15613_L1_R2.fastq.gz,ATAC
CoPA_15617_L1,atac/CoPA_15617_L1_R1.fastq.gz,atac/CoPA_15617_L1_R2.fastq.gz,ATAC
CoPA_15614_L1,atac/CoPA_15614_L1_R1.fastq.gz,atac/CoPA_15614_L1_R2.fastq.gz,ATAC
CoPA_15618_L1,atac/CoPA_15618_L1_R1.fastq.gz,atac/CoPA_15618_L1_R2.fastq.gz,ATAC
CoPA_15608_L1,atac/CoPA_15608_L1_R1.fastq.gz,atac/CoPA_15608_L1_R2.fastq.gz,ATAC
CoPA_15612_L1,atac/CoPA_15612_L1_R1.fastq.gz,atac/CoPA_15612_L1_R2.fastq.gz,ATAC
CoPA_15609_L1,atac/CoPA_15609_L1_R1.fastq.gz,atac/CoPA_15609_L1_R2.fastq.gz,ATAC
CoPA_15615_L1,atac/CoPA_15615_L1_R1.fastq.gz,atac/CoPA_15615_L1_R2.fastq.gz,ATAC
CoPA_15610_L1,atac/CoPA_15610_L1_R1.fastq.gz,atac/CoPA_15610_L1_R2.fastq.gz,ATAC
CoPA_15616_L1,atac/CoPA_15616_L1_R1.fastq.gz,atac/CoPA_15616_L1_R2.fastq.gz,ATAC
CoPA_15607_L2,atac/CoPA_15607_L2_R1.fastq.gz,atac/CoPA_15607_L2_R2.fastq.gz,ATAC
CoPA_15611_L2,atac/CoPA_15611_L2_R1.fastq.gz,atac/CoPA_15611_L2_R2.fastq.gz,ATAC
CoPA_15613_L2,atac/CoPA_15613_L2_R1.fastq.gz,atac/CoPA_15613_L2_R2.fastq.gz,ATAC
CoPA_15617_L2,atac/CoPA_15617_L2_R1.fastq.gz,atac/CoPA_15617_L2_R2.fastq.gz,ATAC
CoPA_15614_L2,atac/CoPA_15614_L2_R1.fastq.gz,atac/CoPA_15614_L2_R2.fastq.gz,ATAC
CoPA_15618_L2,atac/CoPA_15618_L2_R1.fastq.gz,atac/CoPA_15618_L2_R2.fastq.gz,ATAC
CoPA_15608_L2,atac/CoPA_15608_L2_R1.fastq.gz,atac/CoPA_15608_L2_R2.fastq.gz,ATAC
CoPA_15612_L2,atac/CoPA_15612_L2_R1.fastq.gz,atac/CoPA_15612_L2_R2.fastq.gz,ATAC
